,state,colony_number,yield_per_colony,productions,stocks,average_price,value_of_prod,year
34,Vermont,4000,65,73000,73000,310.0,806000,2010
35,Virginia,5000,37,37000,37000,332.0,614000,2010
36,Washington,71000,37,1077000,1077000,157.0,4124000,2010
37,WestVirginia,5000,40,40000,40000,239.0,478000,2010
38,Wisconsin,64000,64,1556000,1556000,168.0,6881000,2010
39,Wyoming,34000,36,282000,282000,159.0,1946000,2010
40,Alabama,9000,50,63000,63000,251.0,1130000,2011
41,Arizona,23000,53,427000,427000,155.0,1889000,2011
42,Arkansas,22000,64,239000,239000,162.0,2281000,2011
43,California,370000,48,3730000,3730000,165.0,29304000,2011
44,Colorado,31000,55,443000,443000,200.0,3410000,2011
45,Florida,180000,61,988000,988000,168.0,18446000,2011
46,Georgia,65000,43,196000,196000,165.0,4612000,2011
47,Hawaii,9000,74,246000,246000,365.0,2431000,2011
48,Idaho,87000,36,1879000,1879000,178.0,5575000,2011
49,Illinois,7000,50,98000,98000,390.0,1365000,2011
50,Indiana,8000,51,147000,147000,214.0,873000,2011
51,Iowa,25000,62,961000,961000,196.0,3038000,2011
52,Kansas,7000,44,117000,117000,215.0,662000,2011
53,Kentucky,4000,39,12000,12000,317.0,495000,2011
54,Louisiana,36000,77,471000,471000,167.0,4629000,2011
55,Maine,4000,30,17000,17000,198.0,238000,2011
56,Michigan,74000,64,2084000,2084000,181.0,8572000,2011
57,Minnesota,120000,53,2099000,2099000,163.0,10367000,2011
58,Mississippi,18000,115,104000,104000,153.0,3167000,2011
59,Missouri,8000,43,76000,76000,214.0,736000,2011
60,Montana,145000,92,3202000,3202000,170.0,22678000,2011
61,Nebraska,41000,59,653000,653000,175.0,4233000,2011
62,NewJersey,11000,41,135000,135000,370.0,1669000,2011
63,NewMexico,7000,56,153000,153000,169.0,662000,2011
64,NewYork,49000,56,1235000,1235000,196.0,5378000,2011
65,NorthCarolina,14000,62,95000,95000,283.0,2456000,2011
66,NorthDakota,460000,71,7512000,7512000,167.0,54542000,2011
67,Ohio,15000,66,228000,228000,234.0,2317000,2011
68,Oregon,60000,34,755000,755000,168.0,3427000,2011
69,Pennsylvania,24000,44,306000,306000,255.0,2693000,2011
70,SouthDakota,250000,66,4290000,4290000,170.0,28050000,2011
71,Tennessee,7000,44,68000,68000,293.0,902000,2011
72,Texas,78000,58,633000,633000,178.0,8053000,2011
73,Utah,23000,39,170000,170000,175.0,1570000,2011
74,Vermont,4000,43,43000,43000,231.0,397000,2011
75,Virginia,4000,40,21000,21000,407.0,651000,2011
76,Washington,71000,38,836000,836000,193.0,5207000,2011
77,WestVirginia,4000,53,45000,45000,257.0,545000,2011
78,Wisconsin,57000,63,1508000,1508000,189.0,6787000,2011
79,Wyoming,35000,54,265000,265000,172.0,3251000,2011
80,Alabama,8000,54,65000,65000,247.0,1067000,2012
81,Arizona,22000,46,253000,253000,179.0,1811000,2012
82,Arkansas,25000,63,189000,189000,198.0,3119000,2012
83,California,330000,35,3119000,3119000,194.0,22407000,2012
84,Colorado,25000,48,468000,468000,207.0,2484000,2012
85,Florida,193000,64,1235000,1235000,184.0,22728000,2012
86,Georgia,59000,51,181000,181000,192.0,5777000,2012
87,Hawaii,10000,75,263000,263000,415.0,3113000,2012
88,Idaho,92000,32,530000,530000,163.0,4799000,2012
89,Illinois,7000,61,145000,145000,355.0,1516000,2012
90,Indiana,8000,59,203000,203000,254.0,1199000,2012
91,Iowa,37000,61,1196000,1196000,217.0,4898000,2012
92,Kansas,6000,55,125000,125000,228.0,752000,2012
93,Kentucky,5000,51,41000,41000,315.0,803000,2012
94,Louisiana,41000,86,141000,141000,183.0,6453000,2012
95,Maine,4000,34,24000,24000,239.0,325000,2012
96,Michigan,73000,57,1332000,1332000,203.0,8447000,2012
97,Minnesota,125000,67,1591000,1591000,192.0,16080000,2012
98,Mississippi,18000,118,64000,64000,177.0,3759000,2012
99,Missouri,7000,53,108000,108000,280.0,1039000,2012
100,Montana,145000,52,2413000,2413000,195.0,14703000,2012
101,Nebraska,43000,65,1146000,1146000,193.0,5394000,2012
102,NewJersey,14000,33,51000,51000,197.0,910000,2012
103,NewMexico,5000,52,99000,99000,339.0,881000,2012
104,NewYork,51000,51,988000,988000,223.0,5800000,2012
105,NorthCarolina,13000,39,106000,106000,376.0,1906000,2012
106,NorthDakota,480000,69,5962000,5962000,192.0,63590000,2012
107,Ohio,18000,60,410000,410000,246.0,2657000,2012
108,Oregon,60000,32,845000,845000,216.0,4147000,2012
109,Pennsylvania,16000,60,269000,269000,257.0,2467000,2012
110,SouthDakota,260000,63,3604000,3604000,195.0,31941000,2012
111,Tennessee,6000,61,59000,59000,293.0,1072000,2012
112,Texas,92000,52,718000,718000,200.0,9568000,2012
113,Utah,25000,38,209000,209000,187.0,1777000,2012
114,Vermont,4000,60,53000,53000,239.0,574000,2012
115,Virginia,4000,41,23000,23000,377.0,618000,2012
116,Washington,62000,41,1017000,1017000,238.0,6050000,2012
117,WestVirginia,6000,48,95000,95000,291.0,838000,2012
118,Wisconsin,60000,69,1863000,1863000,205.0,8487000,2012
119,Wyoming,50000,51,459000,459000,187.0,4769000,2012
120,Alabama,7000,52,55000,55000,285.0,1037000,2013
121,Arizona,29000,36,251000,251000,196.0,2046000,2013
122,Arkansas,22000,60,66000,66000,202.0,2666000,2013
123,California,330000,33,2505000,2505000,211.0,22978000,2013
124,Colorado,26000,43,324000,324000,210.0,2348000,2013
125,Florida,220000,61,1074000,1074000,203.0,27243000,2013
126,Georgia,67000,50,637000,637000,226.0,7571000,2013
127,Hawaii,13000,83,65000,65000,197.0,2126000,2013
128,Idaho,83000,32,1036000,1036000,202.0,5365000,2013
129,Illinois,7000,48,101000,101000,419.0,1408000,2013
130,Indiana,6000,47,82000,82000,277.0,781000,2013
131,Iowa,39000,48,1217000,1217000,245.0,4586000,2013
132,Kansas,6000,46,39000,39000,250.0,690000,2013
133,Kentucky,3000,41,17000,17000,325.0,400000,2013
134,Louisiana,50000,98,490000,490000,189.0,9261000,2013
135,Maine,7000,43,27000,27000,314.0,945000,2013
136,Michigan,85000,55,982000,982000,216.0,10098000,2013
137,Minnesota,130000,58,1282000,1282000,199.0,15005000,2013
138,Mississippi,17000,116,39000,39000,186.0,3668000,2013
139,Missouri,10000,47,85000,85000,262.0,1231000,2013
140,Montana,159000,94,5231000,5231000,209.0,31237000,2013
141,Nebraska,46000,60,1628000,1628000,207.0,5713000,2013
142,NewJersey,11000,44,34000,34000,419.0,2028000,2013
143,NewYork,55000,48,1030000,1030000,212.0,5597000,2013
144,NorthCarolina,10000,38,84000,84000,367.0,1395000,2013
145,NorthDakota,480000,69,6955000,6955000,204.0,67565000,2013
146,Ohio,17000,45,390000,390000,329.0,2517000,2013
147,Oregon,62000,35,456000,456000,239.0,5186000,2013
148,Pennsylvania,13000,45,257000,257000,303.0,1773000,2013
149,SouthDakota,265000,56,6381000,6381000,207.0,30719000,2013
150,Tennessee,7000,45,63000,63000,355.0,1118000,2013
151,Texas,106000,59,1689000,1689000,210.0,13133000,2013
152,Utah,30000,34,92000,92000,209.0,2132000,2013
153,Vermont,3000,51,46000,46000,389.0,595000,2013
154,Virginia,5000,35,42000,42000,450.0,788000,2013
155,Washington,69000,39,1023000,1023000,230.0,6189000,2013
156,WestVirginia,6000,46,83000,83000,366.0,1010000,2013
157,Wisconsin,59000,60,1558000,1558000,238.0,8425000,2013
158,Wyoming,47000,66,558000,558000,211.0,6545000,2013
159,Alabama,7000,53,26000,26000,353.0,1310000,2014
160,Arizona,26000,39,193000,193000,192.0,1947000,2014
161,Arkansas,21000,65,137000,137000,204.0,2785000,2014
162,California,320000,39,2995000,2995000,206.0,25709000,2014
163,Colorado,27000,37,200000,200000,211.0,2108000,2014
164,Florida,245000,60,1029000,1029000,208.0,30576000,2014
165,Georgia,73000,62,362000,362000,219.0,9912000,2014
166,Hawaii,15000,93,140000,140000,229.0,3195000,2014
167,Idaho,100000,34,850000,850000,203.0,6902000,2014
168,Illinois,8000,49,94000,94000,411.0,1611000,2014
169,Indiana,5000,62,115000,115000,319.0,989000,2014
170,Iowa,35000,43,933000,933000,241.0,3627000,2014
171,Kansas,7000,75,84000,84000,238.0,1250000,2014
172,Kentucky,5000,47,56000,56000,396.0,931000,2014
173,Louisiana,48000,84,524000,524000,218.0,8790000,2014
174,Maine,8000,47,41000,41000,499.0,1876000,2014
175,Michigan,91000,63,1835000,1835000,249.0,14275000,2014
176,Minnesota,132000,60,1426000,1426000,206.0,16315000,2014
177,Mississippi,20000,112,45000,45000,201.0,4502000,2014
178,Missouri,12000,47,96000,96000,363.0,2047000,2014
179,Montana,162000,88,5132000,5132000,209.0,29795000,2014
180,Nebraska,50000,75,1688000,1688000,204.0,7650000,2014
181,NewJersey,12000,30,119000,119000,313.0,1127000,2014
182,NewYork,60000,55,1518000,1518000,283.0,9339000,2014
183,NorthCarolina,12000,43,88000,88000,349.0,1801000,2014
184,NorthDakota,490000,86,9271000,9271000,199.0,83859000,2014
185,Ohio,15000,61,256000,256000,358.0,3276000,2014
186,Oregon,71000,40,767000,767000,220.0,6248000,2014
187,Pennsylvania,17000,46,203000,203000,291.0,2276000,2014
188,SouthCarolina,9000,54,19000,19000,397.0,1929000,2014
189,SouthDakota,280000,87,5846000,5846000,208.0,50669000,2014
190,Tennessee,7000,63,88000,88000,376.0,1658000,2014
191,Texas,116000,78,2081000,2081000,224.0,20268000,2014
192,Utah,29000,28,130000,130000,213.0,1730000,2014
193,Vermont,3000,58,61000,61000,489.0,851000,2014
194,Virginia,6000,41,57000,57000,468.0,1151000,2014
195,Washington,68000,44,1167000,1167000,261.0,7809000,2014
196,WestVirginia,6000,31,33000,33000,407.0,757000,2014
197,Wisconsin,53000,54,1030000,1030000,238.0,6812000,2014
198,Wyoming,38000,61,255000,255000,208.0,4821000,2014
199,Alabama,7000,47,13000,13000,383.0,1260000,2015
200,Arizona,26000,49,306000,306000,203.0,2586000,2015
201,Arkansas,24000,72,121000,121000,206.0,3560000,2015
202,California,275000,30,1485000,1485000,203.0,16748000,2015
203,Colorado,29000,51,399000,399000,226.0,3343000,2015
204,Florida,220000,54,832000,832000,197.0,23404000,2015
205,Georgia,69000,40,221000,221000,243.0,6707000,2015
206,Hawaii,14000,102,71000,71000,191.0,2727000,2015
207,Idaho,89000,32,1082000,1082000,193.0,5497000,2015
208,Illinois,8000,51,155000,155000,466.0,1901000,2015
209,Indiana,6000,53,165000,165000,323.0,1027000,2015
210,Iowa,36000,50,990000,990000,220.0,3960000,2015
211,Kansas,8000,36,107000,107000,350.0,1008000,2015
212,Kentucky,5000,46,55000,55000,404.0,929000,2015
213,Louisiana,44000,99,348000,348000,195.0,8494000,2015
214,Maine,10000,47,47000,47000,543.0,2552000,2015
215,Michigan,90000,58,1984000,1984000,244.0,12737000,2015
216,Minnesota,122000,68,2157000,2157000,184.0,15265000,2015
217,Mississippi,15000,83,87000,87000,240.0,2988000,2015
218,Missouri,10000,52,52000,52000,355.0,1846000,2015
219,Montana,146000,83,3757000,3757000,194.0,23509000,2015
220,Nebraska,57000,48,1450000,1450000,204.0,5581000,2015
221,NewJersey,12000,27,207000,207000,420.0,1361000,2015
222,NewYork,58000,62,899000,899000,294.0,10572000,2015
223,NorthCarolina,12000,45,103000,103000,451.0,2435000,2015
224,NorthDakota,490000,74,9428000,9428000,180.0,65268000,2015
225,Ohio,17000,50,357000,357000,360.0,3060000,2015
226,Oregon,71000,38,809000,809000,243.0,6556000,2015
227,Pennsylvania,17000,53,225000,225000,362.0,3262000,2015
228,SouthCarolina,14000,67,38000,38000,410.0,3846000,2015
229,SouthDakota,290000,66,9379000,9379000,179.0,34261000,2015
230,Tennessee,7000,59,78000,78000,404.0,1669000,2015
231,Texas,126000,66,1164000,1164000,210.0,17464000,2015
232,Utah,27000,42,147000,147000,192.0,2177000,2015
233,Vermont,5000,52,62000,62000,423.0,1100000,2015
234,Virginia,6000,38,50000,50000,553.0,1261000,2015
235,Washington,73000,44,1221000,1221000,180.0,5782000,2015
236,WestVirginia,5000,35,32000,32000,444.0,777000,2015
237,Wisconsin,52000,67,1603000,1603000,243.0,8466000,2015
238,Wyoming,38000,77,146000,146000,190.0,5559000,2015
239,Alabama,7000,52,33000,33000,345.0,1256000,2016
240,Arizona,27000,46,261000,261000,197.0,2447000,2016
241,Arkansas,24000,69,99000,99000,185.0,3064000,2016
242,California,310000,36,2009000,2009000,204.0,22766000,2016
243,Colorado,32000,40,282000,282000,224.0,2867000,2016
244,Florida,215000,50,538000,538000,243.0,26123000,2016
245,Georgia,96000,39,899000,899000,269.0,10071000,2016
246,Hawaii,16000,113,127000,127000,231.0,4176000,2016
247,Idaho,97000,34,1253000,1253000,182.0,6002000,2016
248,Illinois,10000,48,77000,77000,542.0,2602000,2016
249,Indiana,7000,62,208000,208000,346.0,1502000,2016
250,Iowa,37000,48,746000,746000,208.0,3694000,2016
251,Kansas,7000,48,54000,54000,304.0,1021000,2016
252,Kentucky,5000,46,48000,48000,402.0,925000,2016
253,Louisiana,50000,86,301000,301000,194.0,8342000,2016
254,Maine,12000,34,65000,65000,338.0,1379000,2016
255,Michigan,89000,60,1709000,1709000,237.0,12656000,2016
256,Minnesota,124000,59,1390000,1390000,169.0,12364000,2016
257,Mississippi,19000,85,113000,113000,173.0,2794000,2016
258,Missouri,8000,62,30000,30000,231.0,1146000,2016
259,Montana,159000,77,3183000,3183000,177.0,21670000,2016
260,Nebraska,48000,46,640000,640000,191.0,4217000,2016
261,NewJersey,12000,27,198000,198000,709.0,2297000,2016
262,NewYork,64000,57,1167000,1167000,319.0,11637000,2016
263,NorthCarolina,12000,37,89000,89000,478.0,2122000,2016
264,NorthDakota,485000,78,6809000,6809000,185.0,69986000,2016
265,Ohio,15000,79,664000,664000,393.0,4657000,2016
266,Oregon,74000,35,622000,622000,191.0,4947000,2016
267,Pennsylvania,19000,50,266000,266000,303.0,2879000,2016
268,SouthCarolina,16000,45,36000,36000,457.0,3290000,2016
269,SouthDakota,280000,71,12127000,12127000,176.0,34989000,2016
270,Tennessee,6000,55,69000,69000,488.0,1610000,2016
271,Texas,133000,70,2607000,2607000,208.0,19365000,2016
272,Utah,31000,32,169000,169000,193.0,1915000,2016
273,Vermont,6000,52,69000,69000,364.0,1136000,2016
274,Virginia,5000,38,30000,30000,585.0,1112000,2016
275,Washington,84000,35,412000,412000,199.0,5851000,2016
276,WestVirginia,5000,32,43000,43000,392.0,627000,2016
277,Wisconsin,54000,62,1205000,1205000,267.0,8939000,2016
278,Wyoming,40000,68,190000,190000,178.0,4842000,2016
279,Alabama,7000,45,22000,22000,288.0,907000,2017
280,Arizona,22000,40,97000,97000,199.0,1751000,2017
281,Arkansas,29000,68,197000,197000,197.0,3885000,2017
282,California,335000,41,2198000,2198000,216.0,29668000,2017
283,Colorado,33000,43,284000,284000,209.0,2966000,2017
284,Florida,205000,43,529000,529000,237.0,20892000,2017
285,Georgia,99000,32,190000,190000,300.0,9504000,2017
286,Hawaii,19000,131,25000,25000,153.0,3808000,2017
287,Idaho,95000,44,1045000,1045000,179.0,7482000,2017
288,Illinois,11000,46,167000,167000,509.0,2576000,2017
289,Indiana,8000,52,158000,158000,361.0,1502000,2017
290,Iowa,35000,58,1035000,1035000,226.0,4588000,2017
291,Kansas,7000,79,260000,260000,403.0,2229000,2017
292,Kentucky,5000,38,42000,42000,413.0,785000,2017
293,Louisiana,43000,81,279000,279000,193.0,6722000,2017
294,Maine,12000,33,51000,51000,500.0,1980000,2017
295,Michigan,87000,45,822000,822000,242.0,9474000,2017
296,Minnesota,126000,62,1016000,1016000,193.0,15077000,2017
297,Mississippi,18000,86,124000,124000,182.0,2817000,2017
298,Missouri,8000,65,57000,57000,370.0,1924000,2017
299,Montana,145000,72,2506000,2506000,221.0,23072000,2017
300,Nebraska,42000,63,423000,423000,191.0,5054000,2017
301,NewJersey,13000,28,167000,167000,874.0,3181000,2017
302,NewYork,57000,56,766000,766000,303.0,9672000,2017
303,NorthCarolina,11000,41,99000,99000,458.0,2066000,2017
304,NorthDakota,455000,74,4377000,4377000,191.0,64310000,2017
305,Ohio,15000,73,657000,657000,324.0,3548000,2017
306,Oregon,78000,40,998000,998000,210.0,6552000,2017
307,Pennsylvania,16000,46,177000,177000,351.0,2583000,2017
308,SouthCarolina,16000,34,27000,27000,270.0,1469000,2017
309,SouthDakota,255000,57,6541000,6541000,207.0,30087000,2017
310,Tennessee,7000,41,75000,75000,457.0,1312000,2017
311,Texas,120000,66,2297000,2297000,217.0,17186000,2017
312,Utah,27000,31,67000,67000,208.0,1741000,2017
313,Vermont,7000,54,144000,144000,402.0,1520000,2017
314,Virginia,6000,35,46000,46000,577.0,1212000,2017
315,Washington,77000,45,1594000,1594000,244.0,8455000,2017
316,WestVirginia,6000,40,50000,50000,393.0,943000,2017
317,Wisconsin,53000,56,683000,683000,282.0,8370000,2017
318,Wyoming,39000,53,186000,186000,161.0,3328000,2017
319,Alabama,6000,45,14000,14000,3.72,1004000,2018
320,Arizona,24000,38,109000,109000,3.01,2745000,2018
321,Arkansas,28000,50,84000,84000,1.88,2632000,2018
322,California,335000,41,3022000,3022000,2.11,28981000,2018
323,Colorado,31000,48,283000,283000,2.05,3050000,2018
324,Florida,215000,49,737000,737000,2.4,25284000,2018
325,Georgia,98000,34,200000,200000,2.76,9196000,2018
326,Hawaii,17000,103,18000,18000,1.92,3362000,2018
327,Idaho,96000,31,655000,655000,1.96,5833000,2018
328,Illinois,11000,41,108000,108000,4.83,2178000,2018
329,Indiana,7000,46,106000,106000,3.58,1153000,2018
330,Iowa,38000,49,1005000,1005000,2.4,4469000,2018
331,Kansas,5000,73,95000,95000,3.1,1132000,2018
332,Kentucky,4000,41,34000,34000,5.43,891000,2018
333,Louisiana,45000,83,261000,261000,1.91,7134000,2018
334,Maine,12000,32,92000,92000,2.98,1144000,2018
335,Michigan,97000,44,768000,768000,2.49,10627000,2018
336,Minnesota,119000,61,1161000,1161000,1.94,14082000,2018
337,Mississippi,20000,87,70000,70000,2.07,3602000,2018
338,Missouri,9000,45,36000,36000,2.83,1146000,2018
339,Montana,160000,92,3680000,3680000,1.9,27968000,2018
340,Nebraska,40000,59,850000,850000,2.01,4744000,2018
341,NewJersey,13000,31,165000,165000,7.47,3010000,2018
342,NewYork,56000,48,833000,833000,3.24,8709000,2018
343,NorthCarolina,10000,33,63000,63000,5.76,1901000,2018
344,NorthDakota,550000,72,4752000,4752000,1.87,74052000,2018
345,Ohio,14000,73,491000,491000,3.72,3802000,2018
346,Oregon,93000,35,1009000,1009000,2.36,7682000,2018
347,Pennsylvania,19000,44,309000,309000,3.89,3252000,2018
348,SouthCarolina,16000,48,15000,15000,3.17,2435000,2018
349,SouthDakota,255000,47,5154000,5154000,1.91,22891000,2018
350,Tennessee,7000,46,84000,84000,4.11,1323000,2018
351,Texas,132000,56,1035000,1035000,2.12,15671000,2018
352,Utah,26000,41,75000,75000,2.1,2239000,2018
353,Vermont,7000,48,94000,94000,3.76,1263000,2018
354,Virginia,4000,40,35000,35000,7.24,1158000,2018
355,Washington,77000,43,563000,563000,2.15,7119000,2018
356,WestVirginia,6000,37,38000,38000,4.33,961000,2018
357,Wisconsin,51000,45,711000,711000,2.95,6770000,2018
358,Wyoming,39000,56,175000,175000,1.91,4171000,2018
359,Alabama,7000,42,44000,44000,3.38,994000,2019
360,Arizona,23000,46,201000,201000,2.04,2158000,2019
361,Arkansas,20000,55,176000,176000,1.65,1815000,2019
362,California,335000,48,3216000,3216000,1.6,25728000,2019
363,Colorado,32000,46,500000,500000,2.34,3444000,2019
364,Florida,205000,45,830000,830000,2.46,22694000,2019
365,Georgia,102000,33,370000,370000,2.67,8987000,2019
366,Hawaii,16000,80,51000,51000,1.3,1664000,2019
367,Idaho,92000,32,677000,677000,1.62,4769000,2019
368,Illinois,11000,39,116000,116000,4.12,1767000,2019
369,Indiana,9000,55,188000,188000,3.78,1871000,2019
370,Iowa,38000,55,1170000,1170000,2.35,4912000,2019
371,Kansas,7000,79,171000,171000,2.35,1300000,2019
372,Kentucky,6000,41,44000,44000,4.66,1146000,2019
373,Louisiana,54000,72,428000,428000,2.15,8359000,2019
374,Maine,15000,35,110000,110000,3.28,1722000,2019
375,Michigan,94000,50,1363000,1363000,2.56,12032000,2019
376,Minnesota,118000,59,3063000,3063000,1.83,12740000,2019
377,Mississippi,22000,80,141000,141000,1.87,3291000,2019
378,Missouri,10000,43,73000,73000,3.35,1441000,2019
379,Montana,173000,86,5802000,5802000,1.49,22168000,2019
380,Nebraska,39000,52,223000,223000,1.44,2920000,2019
381,NewJersey,15000,28,155000,155000,4.68,1966000,2019
382,NewYork,59000,58,1027000,1027000,4.0,13688000,2019
383,NorthCarolina,14000,42,118000,118000,4.11,2417000,2019
384,NorthDakota,520000,65,6422000,6422000,1.43,48334000,2019
385,Ohio,15000,67,442000,442000,3.46,3477000,2019
386,Oregon,87000,32,1141000,1141000,2.5,6960000,2019
387,Pennsylvania,19000,50,409000,409000,4.41,4190000,2019
388,SouthCarolina,16000,47,45000,45000,5.03,3783000,2019
389,SouthDakota,270000,72,7582000,7582000,1.56,30326000,2019
390,Tennessee,8000,57,91000,91000,4.72,2152000,2019
391,Texas,126000,60,1663000,1663000,2.32,17539000,2019
392,Utah,22000,29,89000,89000,1.97,1257000,2019
393,Vermont,6000,48,84000,84000,4.48,1290000,2019
394,Virginia,5000,39,49000,49000,7.19,1402000,2019
395,Washington,81000,35,1191000,1191000,2.18,6180000,2019
396,WestVirginia,6000,37,47000,47000,4.26,946000,2019
397,Wisconsin,46000,47,692000,692000,3.0,6486000,2019
398,Wyoming,39000,56,306000,306000,1.43,3123000,2019
399,Alabama,7000,39,66000,66000,5.52,1507000,2020
400,Arizona,25000,36,360000,360000,2.38,2142000,2020
401,Arkansas,20000,49,176000,176000,1.85,1813000,2020
402,California,320000,43,2752000,2752000,1.95,26832000,2020
403,Colorado,30000,41,455000,455000,2.39,2940000,2020
404,Florida,192000,46,883000,883000,2.24,19784000,2020
405,Georgia,101000,34,412000,412000,2.52,8654000,2020
406,Hawaii,15000,105,79000,79000,1.7,2678000,2020
407,Idaho,107000,35,637000,637000,1.76,6591000,2020
408,Illinois,10000,52,156000,156000,5.65,2938000,2020
409,Indiana,9000,55,149000,149000,3.91,1935000,2020
410,Iowa,35000,58,1259000,1259000,2.54,5156000,2020
411,Kansas,8000,62,164000,164000,3.25,1612000,2020
412,Kentucky,7000,33,58000,58000,5.76,1331000,2020
413,Louisiana,33000,69,228000,228000,2.46,5601000,2020
414,Maine,10000,30,78000,78000,3.36,1008000,2020
415,Michigan,95000,47,1384000,1384000,2.95,13172000,2020
416,Minnesota,108000,55,2495000,2495000,1.8,10692000,2020
417,Mississippi,25000,73,146000,146000,1.99,3632000,2020
418,Missouri,9000,41,100000,100000,3.59,1325000,2020
419,Montana,110000,81,3208000,3208000,1.61,14345000,2020
420,Nebraska,37000,52,250000,250000,1.69,3252000,2020
421,NewJersey,14000,31,91000,91000,4.32,1875000,2020
422,NewYork,58000,56,844000,844000,3.13,10166000,2020
423,NorthCarolina,12000,38,123000,123000,5.5,2508000,2020
424,NorthDakota,495000,78,8108000,8108000,1.59,61390000,2020
425,Ohio,16000,75,576000,576000,3.5,4200000,2020
426,Oregon,95000,29,1102000,1102000,2.4,6612000,2020
427,Pennsylvania,19000,48,392000,392000,4.12,3757000,2020
428,SouthCarolina,16000,46,66000,66000,3.44,2532000,2020
429,SouthDakota,245000,61,8668000,8668000,1.77,26453000,2020
430,Tennessee,7000,51,54000,54000,4.23,1510000,2020
431,Texas,157000,57,1253000,1253000,2.0,17898000,2020
432,Utah,28000,34,171000,171000,2.02,1923000,2020
433,Vermont,6000,47,96000,96000,3.94,1111000,2020
434,Virginia,5000,40,54000,54000,6.03,1206000,2020
435,Washington,98000,37,798000,798000,2.51,9101000,2020
436,WestVirginia,6000,46,58000,58000,3.81,1052000,2020
437,Wisconsin,45000,50,855000,855000,3.11,6998000,2020
438,Wyoming,38000,40,608000,608000,1.71,2599000,2020
439,Alabama,8000,40,112000,112000,5.99,1917000,2021
440,Arizona,26000,40,368000,368000,2.34,2434000,2021
441,Arkansas,17000,50,255000,255000,2.07,1760000,2021
442,California,290000,33,1627000,1627000,2.4,22968000,2021
443,Colorado,29000,40,232000,232000,2.78,3225000,2021
444,Florida,193000,44,849000,849000,2.42,20551000,2021
445,Georgia,96000,34,261000,261000,2.73,8911000,2021
446,Hawaii,15000,93,56000,56000,2.21,3083000,2021
447,Idaho,100000,30,270000,270000,2.37,7110000,2021
448,Illinois,10000,46,115000,115000,5.83,2682000,2021
449,Indiana,10000,52,177000,177000,3.89,2023000,2021
450,Iowa,38000,55,502000,502000,2.46,5141000,2021
451,Kansas,7000,42,144000,144000,2.74,806000,2021
452,Kentucky,7000,37,73000,73000,4.6,1191000,2021
453,Louisiana,37000,58,205000,205000,2.5,5365000,2021
454,Maine,11000,34,60000,60000,3.18,1189000,2021
455,Michigan,101000,51,1957000,1957000,2.97,15298000,2021
456,Minnesota,125000,57,285000,285000,2.32,16530000,2021
457,Mississippi,25000,71,71000,71000,2.77,4917000,2021
458,Missouri,8000,35,92000,92000,3.99,1117000,2021
459,Montana,117000,57,1934000,1934000,2.17,14472000,2021
460,Nebraska,39000,47,550000,550000,2.17,3978000,2021
461,NewJersey,15000,35,158000,158000,3.27,1717000,2021
462,NewYork,57000,53,665000,665000,4.15,12537000,2021
463,NorthCarolina,13000,39,104000,104000,6.84,3468000,2021
464,NorthDakota,515000,55,2266000,2266000,2.19,62032000,2021
465,Ohio,16000,64,389000,389000,3.7,3789000,2021
466,Oregon,86000,31,693000,693000,2.14,5705000,2021
